genotype,plate,date,temp,food,pheromone,neuron,#,ID,area,mean,mode,min,max,IntDen,Median,RawIntDen,note
mg360,,6_30_16,25,OP50,0,ASI,34,1,0.587,444.929,428,421,471,261.166,445,24916,
mg360,,6_30_16,25,OP50,0,ASI,35,2,1.268,1354.562,1401,998,1561,1717.998,1379,163902,
mg360,,6_30_16,25,OP50,0,ASI,36,2,0.325,1086.065,1114,991,1125,352.903,1095,33668,
mg360,,6_30_16,25,OP50,0,ASI,37,3,1.08,886.942,918,796,949,957.57,894,91355,
mg360,,6_30_16,25,OP50,0,ASI,38,3,0.535,840.039,833,790,883,449.064,842,42842,
mg360,,6_30_16,25,OP50,0,ASI,39,4,0.964,676.391,711,603,731,652.265,682,62228,
mg360,,6_30_16,25,OP50,0,ASI,40,4,0.797,796.737,752,708,893,634.698,792,60552,
mg360,,6_30_16,25,OP50,0,ASI,41,5,1.541,555.034,523,491,627,855.215,553,81590,
mg360,,6_30_16,25,OP50,0,ASI,42,5,0.996,783.926,789,713,851,780.616,789,74473,
mg360,,6_30_16,25,OP50,0,ASI,43,6,1.95,948.882,992,847,1042,1849.964,958,176492,
mg360,,6_30_16,25,OP50,0,ASI,44,6,1.415,824.156,820,695,902,1166.222,833,111261,
mg360,,6_30_16,25,OP50,0,ASI,45,7,1.017,1029.412,1069,893,1130,1046.645,1049,99853,
mg360,,6_30_16,25,OP50,0,ASI,46,7,1.153,430.091,428,383,469,495.897,432,47310,
mg360,,6_30_16,25,OP50,0,ASI,47,8,0.912,1165,1082,1004,1266,1062.389,1182,101355,
mg360,,6_30_16,25,OP50,0,ASI,48,8,0.839,1414.825,1359,1221,1542,1186.4,1425,113186,
mg360,,6_30_16,25,OP50,0,ASI,49,9,1.3,693.218,710,612,749,901.01,699,85959,
mg360,,6_30_16,25,OP50,0,ASI,50,9,0.524,447.94,451,397,486,234.762,451,22397,
mg360,,6_30_16,25,OP50,0,ASI,51,10,1.059,574.485,552,510,621,608.189,576,58023,
mg360,,6_30_16,25,OP50,0,ASI,52,10,0.65,608.274,604,571,644,395.302,608,37713,
mg360,,6_30_16,25,OP50,0,ASI,53,11,0.954,648.659,632,563,722,618.723,648,59028,
mg360,,6_30_16,25,OP50,0,ASI,54,11,0.765,534.904,563,467,586,409.296,542,39048,
mg360,,6_30_16,25,OP50,0,ASI,55,12,0.241,1906.913,1793,1793,1987,459.724,1912,43859,
mg360,,6_30_16,25,OP50,0,ASI,56,12,0.587,869.268,878,815,922,510.246,876,48679,
mg360,,6_30_16,25,OP50,0,ASI,57,13,0.818,336.603,331,318,355,275.201,336,26255,
mg360,,6_30_16,25,OP50,0,ASI,58,13,1.184,308.885,312,289,331,365.859,309,34904,
mg360,,6_30_16,25,OP50,0,ASI,59,14,0.283,380.481,382,366,406,107.68,382,10273,
mg360,,6_30_16,25,OP50,0,ASI,60,14,1.3,547.339,527,486,585,711.404,553,67870,
mg360,,6_30_16,25,OP50,0,ASI,61,15,0.608,489.431,481,468,512,297.549,491,28387,
mg360,,6_30_16,25,OP50,0,ASI,62,15,0.346,404.606,403,390,421,139.954,404,13352,
mg360,,6_30_16,25,OP50,0,ASI,63,16,0.88,740.024,746,657,801,651.573,746,62162,
mg360,,6_30_16,25,OP50,0,ASI,64,16,0.577,716.909,706,680,750,413.3,716,39430,
N2,A,9_29_16,20,OP50,0,ASI,1,daf7GFP_L1_20deg.czi:z:4/13 - daf7GFP_L1_20deg.czi #1,1.782,1844.171,1885,1646,2030,3286.157,1852,313509,
N2,A,9_29_16,20,OP50,0,ASI,2,daf7GFP_L1_20deg.czi:z:8/13 - daf7GFP_L1_20deg.czi #1,1.782,2766.794,2338,2170,3119,4930.195,2805,470355,
N2,A,9_29_16,20,OP50,0,ASI,3,daf7GFP_L1_20deg-3.czi:z:3/10 - daf7GFP_L1_20deg-3.czi #1,2.799,2974.757,2957,2273,3349,8325.322,2994,794260,
