genotype,day,date,temp,food,pheromone,neuron,cell.ID,ID,area,mean,mode,min,max,IntDen,Median,RawIntDen,notes,exp_time,rescaledASI,medianASI,medianASJ,rescaledASJ
N2,4,10_16_15,27,OP50,0,ASI,288,5,1.3,1471.7,1513,1341,1530,1913.325,1483,73585,HB101 contaminated,,,,,
N2,4,10_16_15,27,OP50,0,ASJ,289,5,0.78,1113.4,1074,1030,1182,868.504,1112,33402,HB101 contaminated,,,,,
N2,4,10_16_15,27,OP50,0,ASI,290,6,0.442,364.059,362,353,376,160.924,363,6189,HB101 contaminated,,,,,
N2,4,10_16_15,27,OP50,0,ASI,291,6,0.39,404.333,402,396,412,157.699,403,6065,HB101 contaminated,,,,,
N2,4,10_16_15,27,OP50,0,ASJ,292,6,0.702,572.407,568,553,598,401.854,568,15455,HB101 contaminated,,,,,
N2,4,10_16_15,27,OP50,0,ASJ,293,6,1.378,503.642,489,453,539,694.06,507,26693,HB101 contaminated,,,,,
N2,4,10_16_15,27,OP50,0,ASI,294,7,1.066,421.415,404,376,467,449.255,423,17278,HB101 contaminated,,,,,
N2,4,10_16_15,27,OP50,0,ASJ,295,7,1.638,839.127,732,675,996,1374.573,836,52865,HB101 contaminated,,,,,
N2,4,10_16_15,27,OP50,0,ASJ,296,7,1.482,984.316,1005,842,1082,1458.844,992,56106,HB101 contaminated,,,,,
N2,4,10_16_15,27,OP50,0,ASI,297,8,1.586,470.623,445,434,508,746.453,471,28708,HB101 contaminated,,,,,
N2,4,10_16_15,27,OP50,0,ASI,298,8,1.014,508.564,511,477,535,515.715,509,19834,HB101 contaminated,,,,,
N2,4,10_16_15,27,OP50,0,ASJ,299,8,1.248,510.833,493,454,538,637.558,514,24520,HB101 contaminated,,,,,
N2,4,10_16_15,27,OP50,0,ASJ,300,8,1.066,368.902,364,350,389,393.274,368,15125,HB101 contaminated,,,,,
N2,4,10_16_15,27,OP50,0,ASI,301,9,1.066,567.756,541,530,610,605.264,571,23278,HB101 contaminated,,,,,
N2,4,10_16_15,27,OP50,0,ASI,302,9,2.288,531.489,556,465,586,1216.119,533,46771,HB101 contaminated,,,,,
N2,4,10_16_15,27,OP50,0,ASJ,303,9,1.924,531.514,510,451,603,1022.693,530,39332,HB101 contaminated,,,,,
N2,4,10_16_15,27,OP50,0,ASI,304,10,1.144,322.023,321,303,334,368.416,323,14169,HB101 contaminated,,,,,
N2,4,10_16_15,27,OP50,0,ASI,305,10,0.65,295.8,294,278,309,192.282,297,7395,HB101 contaminated,,,,,
N2,4,10_16_15,27,OP50,0,ASJ,306,10,0.832,531.062,541,470,568,441.871,541,16994,HB101 contaminated,,,,,
N2,4,10_16_15,27,OP50,0,ASJ,307,10,0.858,783.091,783,733,829,671.932,783,25842,HB101 contaminated,,,,,
N2,4,10_16_15,27,HB101,0,ASI,308,1,1.3,999.02,1008,825,1081,1298.804,1015,49951,HB101 contaminated,,,,,
N2,4,10_16_15,27,HB101,0,ASI,309,1,1.352,1542.481,1664,1246,1710,2085.559,1571,80209,HB101 contaminated,,,,,
N2,4,10_16_15,27,HB101,0,ASJ,310,1,0.858,1506.394,1476,1397,1581,1292.564,1507,49711,HB101 contaminated,,,,,
N2,4,10_16_15,27,HB101,0,ASJ,311,1,0.65,1364.08,1323,1256,1493,886.705,1358,34102,HB101 contaminated,,,,,
N2,4,10_16_15,27,HB101,0,ASI,312,2A,1.326,1283.784,1266,1184,1355,1702.4,1288,65473,HB101 contaminated,,,,,
N2,4,10_16_15,27,HB101,0,ASI,313,2A,1.248,1525.771,1503,1405,1593,1904.276,1532,73237,HB101 contaminated,,,,,
N2,4,10_16_15,27,HB101,0,ASJ,314,2A,3.016,1332.802,1171,941,1534,4019.972,1366,154605,HB101 contaminated,,,,,
N2,4,10_16_15,27,HB101,0,ASJ,315,2A,1.794,1461.623,1523,1216,1579,2622.31,1481,100852,HB101 contaminated,,,,,
N2,4,10_16_15,27,HB101,0,ASI,316,2B,1.222,287.681,287,271,301,351.567,288,13521,HB101 contaminated,,,,,
N2,4,10_16_15,27,HB101,0,ASJ,317,2B,1.274,524,519,474,563,667.616,525,25676,HB101 contaminated,,,,,
N2,4,10_16_15,27,HB101,0,ASJ,318,2B,1.794,379.942,375,331,412,681.657,382,26216,HB101 contaminated,,,,,
N2,4,10_16_15,27,HB101,0,ASI,319,4,1.586,968.852,926,865,1059,1536.692,973,59100,HB101 contaminated,,,,,
N2,4,10_16_15,27,HB101,0,ASI,320,4,1.846,1294.155,1294,1037,1463,2389.154,1317,91885,HB101 contaminated,,,,,
N2,4,10_16_15,27,HB101,0,ASJ,321,4,1.612,618.532,613,552,660,997.134,619,38349,HB101 contaminated,,,,,
N2,4,10_16_15,27,HB101,0,ASJ,322,4,2.002,1007.065,997,859,1088,2016.265,1007,77544,HB101 contaminated,,,,,
N2,4,10_16_15,27,HB101,0,ASI,323,5,1.924,777.365,754,700,829,1495.74,777,57525,HB101 contaminated,,,,,
N2,4,10_16_15,27,HB101,0,ASI,324,5,1.716,832.152,859,707,913,1428.058,851,54922,HB101 contaminated,,,,,
N2,4,10_16_15,27,HB101,0,ASJ,325,5,0.442,864.941,854,820,899,382.327,868,14704,HB101 contaminated,,,,,
N2,4,10_16_15,27,HB101,0,ASI,326,6,1.638,948.825,956,816,1049,1554.269,955,59776,HB101 contaminated,,,,,
N2,4,10_16_15,27,HB101,0,ASI,327,6,1.248,1215.917,1123,1113,1298,1517.555,1218,58364,HB101 contaminated,,,,,
N2,4,10_16_15,27,HB101,0,ASJ,328,6,1.04,1017.9,1032,964,1067,1058.68,1021,40716,HB101 contaminated,,,,,
N2,4,10_16_15,27,HB101,0,ASJ,329,6,1.69,661.877,669,607,699,1118.639,667,43022,HB101 contaminated,,,,,
